Giada At Home - S008 - EP005,censored version,15,Yes,Arabic,"Giada At Home, S08",H265; H264,,Giada At Home - S008,5,Giada At Home,English,Seriesepisode,HD,"Giada updates an old-fashioned tea party menu. She makes tuna sandwiches with white bean spread, lavender chamomile spritzer and milk and honey tea cake.","تحب (غيادا دي لورينتيس) استضافة احتفالات كبيرة تحضّر لها الوجبات الأثيرة إلى قلبها في منزلها. كما تشارك الجمهور المتابع لها بوصفات فريدة لا تنسى، والكثير من النصائح المفيدة.",2015,Giada At Home - S008 - EP005,http://s3-eu-west-1.amazonaws.com/rockettv.media.images/content.lite/Portrait/S0009581008005.jpg
Giada At Home - S008 - EP006,censored version,15,Yes,Arabic,"Giada At Home, S08",H265; H264,,Giada At Home - S008,6,Giada At Home,English,Seriesepisode,HD,"Giada creates a small plate tasting menu with a twist. Each dish contains fennel, including citrus fennel salad, pan roasted salmon and fennel upside down cake.","تحب (غيادا دي لورينتيس) استضافة احتفالات كبيرة تحضّر لها الوجبات الأثيرة إلى قلبها في منزلها. كما تشارك الجمهور المتابع لها بوصفات فريدة لا تنسى، والكثير من النصائح المفيدة.",2015,Giada At Home - S008 - EP006,http://s3-eu-west-1.amazonaws.com/rockettv.media.images/content.lite/Portrait/S0009581008006.jpg
Giada At Home - S008 - EP007,censored version,15,Yes,Arabic,"Giada At Home, S08",H265; H264,,Giada At Home - S008,7,Giada At Home,English,Seriesepisode,HD,"Giada makes three dishes with Italian-Asian fusion. They include blistered shishito pepper with olive and basil salt, Asian mushroom risotto and Far East spaghetti.","تحب (غيادا دي لورينتيس) استضافة احتفالات كبيرة تحضّر لها الوجبات الأثيرة إلى قلبها في منزلها. كما تشارك الجمهور المتابع لها بوصفات فريدة لا تنسى، والكثير من النصائح المفيدة.",2015,Giada At Home - S008 - EP007,http://s3-eu-west-1.amazonaws.com/rockettv.media.images/content.lite/Portrait/S0009581008007.jpg
Giada At Home - S008 - EP008,censored version,15,Yes,Arabic,"Giada At Home, S08",H265; H264,,Giada At Home - S008,8,Giada At Home,English,Seriesepisode,HD,"Giada creates a springtime feast to celebrate with family and friends. On the menu is herb roasted meat, grilled potato salad and raspberry clafoutis.","تحب (غيادا دي لورينتيس) استضافة احتفالات كبيرة تحضّر لها الوجبات الأثيرة إلى قلبها في منزلها. كما تشارك الجمهور المتابع لها بوصفات فريدة لا تنسى، والكثير من النصائح المفيدة.",2015,Giada At Home - S008 - EP008,http://s3-eu-west-1.amazonaws.com/rockettv.media.images/content.lite/Portrait/S0009581008008.jpg
Two and a Half Men - S09 - EP024,uncensored version,18,Yes,English,"Two and a Half Men, S09",H264,,Two and a Half Men - S09,24,Two and a Half Men,English,Seriesepisode,HD,Jake is pressured to make a decision about his future.,يتحتم على جيك اتخاذ قرارا مصيريا يتعلق بمستقبله.,2003,Two and a Half Men - S09 - EP024,http://s3-eu-west-1.amazonaws.com/rockettv.media.images/content.lite/Portrait/S000927109024.jpg
Two and a Half Men - S10 - EP002,uncensored version,18,Yes,English,"Two And A Half Men, S10",H264,,Two and a Half Men - S10,2,Two and a Half Men,English,Seriesepisode,HD,"Following his split with Zoey, Walden has a breakdown.",ينهار والدِن بعد انفصاله عن زوي.,2003,Two and a Half Men - S10 - EP002,http://s3-eu-west-1.amazonaws.com/rockettv.media.images/content.lite/Portrait/S000927110002.jpg
Two and a Half Men - S09 - EP023,uncensored version,18,Yes,English,"Two and a Half Men, S09",H264,,Two and a Half Men - S09,23,Two and a Half Men,English,Seriesepisode,HD,Alan is showered with love and affection upon returning from the hospital.,يتلقى آلان كل الحب والاهتمام عندما يعود إلى المنزل.,2003,Two and a Half Men - S09 - EP023,http://s3-eu-west-1.amazonaws.com/rockettv.media.images/content.lite/Portrait/S000927109023.jpg
Supergirl - S006 - EP001,censored version,18,Yes,English,"Supergirl, S06",H265; H264,,Supergirl - S006,1,Supergirl,English,Seriesepisode,HD,"{\rtf {\fonttbl {\f0 Times New Roman;}} \f0\fs60 Lex attempts to take control of half the population of Earth, as the first step in his plan to ""fix"" the universe. }",{\rtf {\fonttbl {\f0 Times New Roman;}} \f0\fs60 \u1610?\u1581?\u1575?\u1608?\u1604? \u1604?\u1616?\u1603?\u1587? \u1580?\u1575?\u1607?\u1583?\u1575? \u1601?\u1585?\u1590? \u1587?\u1610?\u1591?\u1585?\u1578?\u1607? \u1593?\u1604?\u1609? \u1606?\u1589?\u1601? \u1587?\u1603?\u1575?\u1606? \u1575?\u1604?\u1571?\u1585?\u1590? \u1603?\u1582?\u1591?\u1608?\u1577? \u1571?\u1608?\u1604?\u1609? \u1605?\u1606? \u1582?\u1591?\u1578?\u1607? \u1604?\u1573?\u1589?\u1604?\u1575?\u1581? \u1575?\u1604?\u1603?\u1608?\u1606?. },2015,Supergirl - S006 - EP001,http://s3-eu-west-1.amazonaws.com/rockettv.media.images/content.lite/Portrait/S0008039006001.jpg
Two and a Half Men - S10 - EP004,uncensored version,18,Yes,English,"Two And A Half Men, S10",H264,,Two and a Half Men - S10,4,Two and a Half Men,English,Seriesepisode,HD,Walden starts to feel his age when a friend's daughter comes to town.,يشعر والدِن بأنه بدأ يتقدم بالسن عندما يلتقي بابنة أحد أصدقائه.,2003,Two and a Half Men - S10 - EP004,http://s3-eu-west-1.amazonaws.com/rockettv.media.images/content.lite/Portrait/S000927110004.jpg
Two and a Half Men - S10 - EP006,uncensored version,18,Yes,English,"Two And A Half Men, S10",H264,,Two and a Half Men - S10,6,Two and a Half Men,English,Seriesepisode,HD,"Walden asks Rose to move in, but she feels that it's too early in their relationship.","يطلب والدِن من روز الانتقال للسكن معه، إلا أنها ترفض الأمر، في الوقت الراهن.",2003,Two and a Half Men - S10 - EP006,http://s3-eu-west-1.amazonaws.com/rockettv.media.images/content.lite/Portrait/S000927110006.jpg
